Vp,	T,	n,	j
2344.34991104189,	14579.844160553312,	4.6093999262488657e+27,	-4540759448220.48
2344.34991104189,	4878.452779506238,	4.6093999262488657e+27,	-628323001466.6086
2344.34991104189,	16782.516549915355,	4.6093999262488657e+27,	-5671325423952.888
2344.34991104189,	8030.486457014674,	4.6093999262488657e+27,	-1618901836796.495
2344.34991104189,	22160.419556218363,	4.6093999262488657e+27,	-8672324821573.642
2344.34991104189,	6727.599747227022,	4.6093999262488657e+27,	-1159977602869.0352
2344.34991104189,	19727.95163535406,	4.6093999262488657e+27,	-7273580304157.916
2344.34991104189,	19088.59064068476,	4.6093999262488657e+27,	-6917360632224.579
2344.34991104189,	11730.264747062593,	4.6093999262488657e+27,	-3175671286974.117
2344.34991104189,	26894.78994819123,	4.6093999262488657e+27,	-11604786298251.584
2344.34991104189,	2612.730329746907,	4.6093999262488657e+27,	-193573808798.9419
2344.34991104189,	1936.3543879223191,	4.6093999262488657e+27,	-112332136699.52307
2344.34991104189,	22098.304735915422,	4.6093999262488657e+27,	-8635781183132.073
2344.34991104189,	19635.280606783028,	4.6093999262488657e+27,	-7221662254269.018
2344.34991104189,	2909.5562779219845,	4.6093999262488657e+27,	-236310971849.40717
2344.34991104189,	4667.131532624115,	4.6093999262488657e+27,	-577513358680.4746
2344.34991104189,	7896.845955736966,	4.6093999262488657e+27,	-1569141539515.9258
2344.34991104189,	26689.688377588613,	4.6093999262488657e+27,	-11471947143125.033
2344.34991104189,	19752.581468687447,	4.6093999262488657e+27,	-7287396872059.8545
2344.34991104189,	20782.110988874832,	4.6093999262488657e+27,	-7872128685113.2295
2344.34991104189,	13209.856749718583,	4.6093999262488657e+27,	-3869737936815.1343
2344.34991104189,	2760.4371679928126,	4.6093999262488657e+27,	-214294444352.59113
2344.34991104189,	9421.50835155035,	4.6093999262488657e+27,	-2167267228756.3955
2344.34991104189,	27734.97982215049,	4.6093999262488657e+27,	-12154599049089.402
2344.34991104189,	20661.88183882058,	4.6093999262488657e+27,	-7803168584091.662
2344.34991104189,	20328.430153037178,	4.6093999262488657e+27,	-7612854760161.94
2344.34991104189,	22335.06898322267,	4.6093999262488657e+27,	-8775357194294.532
2344.34991104189,	22782.71596184429,	4.6093999262488657e+27,	-9041330200215.62
2344.34991104189,	4321.767105623644,	4.6093999262488657e+27,	-498873541395.42633
2344.34991104189,	21795.363230120503,	4.6093999262488657e+27,	-8458313913124.905
2344.34991104189,	15186.012413218798,	4.6093999262488657e+27,	-4845919709430.939
2344.34991104189,	13472.237442517951,	4.6093999262488657e+27,	-3996300749537.443
2344.34991104189,	14132.594850217214,	4.6093999262488657e+27,	-4318908336340.8486
2344.34991104189,	13589.416814531882,	4.6093999262488657e+27,	-4053086570924.3257
2344.34991104189,	13059.10190050197,	4.6093999262488657e+27,	-3797477447793.307
2344.34991104189,	9671.03440069392,	4.6093999262488657e+27,	-2270939251901.323
2344.34991104189,	18296.84067538299,	4.6093999262488657e+27,	-6482629096634.852
2344.34991104189,	13348.924952890527,	4.6093999262488657e+27,	-3936728062458.346
2344.34991104189,	26139.434255664743,	4.6093999262488657e+27,	-11117845471487.209
2344.34991104189,	10017.46438498339,	4.6093999262488657e+27,	-2417231116072.786
2344.34991104189,	17129.29675301694,	4.6093999262488657e+27,	-5854767941429.405
2344.34991104189,	15829.390988402569,	4.6093999262488657e+27,	-5174868358119.3955
2344.34991104189,	15689.1304743397,	4.6093999262488657e+27,	-5102775130301.186
2344.34991104189,	4561.155462507853,	4.6093999262488657e+27,	-552798500676.603
2344.34991104189,	17200.634523452027,	4.6093999262488657e+27,	-5892688146097.29
2344.34991104189,	12880.098822480244,	4.6093999262488657e+27,	-3712108269935.578
2344.34991104189,	10200.48730452296,	4.6093999262488657e+27,	-2495590761265.7354
2344.34991104189,	8909.795036294821,	4.6093999262488657e+27,	-1959509426505.6348
2344.34991104189,	20498.3407325172,	4.6093999262488657e+27,	-7709643844270.864
2344.34991104189,	11919.272743224188,	4.6093999262488657e+27,	-3262498744227.1074
2344.34991104189,	2299.2877726093184,	4.6093999262488657e+27,	-153161180761.78235
2344.34991104189,	2042.0988919421693,	4.6093999262488657e+27,	-123573617340.77252
2344.34991104189,	26393.25481419851,	4.6093999262488657e+27,	-11280809256626.64
2344.34991104189,	11585.826464296031,	4.6093999262488657e+27,	-3109702334304.826
2344.34991104189,	15629.149939485838,	4.6093999262488657e+27,	-5072029279871.137
2344.34991104189,	3127.785156631907,	4.6093999262488657e+27,	-270514888805.21936
2344.34991104189,	7271.841256822271,	4.6093999262488657e+27,	-1344302987742.197
2344.34991104189,	25253.209933072347,	4.6093999262488657e+27,	-10556022963720.336
2344.34991104189,	20822.926565752223,	4.6093999262488657e+27,	-7895569023114.593
2344.34991104189,	14650.703861303991,	4.6093999262488657e+27,	-4576188390096.439
2344.34991104189,	6245.82615183679,	4.6093999262488657e+27,	-1006755979820.4636
2344.34991104189,	7973.162111231652,	4.6093999262488657e+27,	-1597487409470.6184
2344.34991104189,	8679.038877006928,	4.6093999262488657e+27,	-1868001182822.3176
2344.34991104189,	23682.11530306932,	4.6093999262488657e+27,	-9583703966870.273
2344.34991104189,	6908.090426713206,	4.6093999262488657e+27,	-1219837756225.4546
2344.34991104189,	25611.996941335397,	4.6093999262488657e+27,	-10782336140094.572
2344.34991104189,	3053.376533523019,	4.6093999262488657e+27,	-258588198658.8444
2344.34991104189,	15888.525888719812,	4.6093999262488657e+27,	-5205341521999.781
2344.34991104189,	18546.71583282889,	4.6093999262488657e+27,	-6619243728563.446
